dataset,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc
dataset,0.8894348894348895,0.9304482225656878,0.9349042068595927,0.9019607843137255,0.9382716049382716,0.9246794871794871
dataset_smote,0.8574938574938575,0.9067524115755627,0.9107549571275455,0.8431372549019608,0.8974358974358975,0.8836805555555557
dataset_adasyn,0.855036855036855,0.9043760129659644,0.9063672293676314,0.8284313725490197,0.8881789137380192,0.8720619658119657
dataset_undersampled,0.8125,0.8181818181818182,0.9351128472222223,0.84375,0.8571428571428571,0.919704861111111
