dataset,params,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,model_file
dataset,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'min_child_weight': 3, 'n_estimators': 400, 'subsample': 0.8}",0.8845208845208845,0.9273570324574961,0.9339328778135048,0.8872549019607843,0.9283489096573209,0.9129273504273505,saved_models\xgb_dataset_20250715_181146.pkl
dataset_smote,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'min_child_weight': 1, 'n_estimators': 700, 'subsample': 0.8}",0.8525798525798526,0.9032258064516129,0.9021804662379422,0.8627450980392157,0.9102564102564102,0.8892895299145299,saved_models\xgb_dataset_smote_20250715_181149.pkl
dataset_adasyn,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'min_child_weight': 1, 'n_estimators': 700, 'subsample': 1.0}",0.8525798525798526,0.9041533546325878,0.8775622990353699,0.8480392156862745,0.9009584664536742,0.8684561965811967,saved_models\xgb_dataset_adasyn_20250715_181152.pkl
dataset_undersampled,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'min_child_weight': 3, 'n_estimators': 400, 'subsample': 1.0}",0.828125,0.8290155440414507,0.9181857638888888,0.8645833333333334,0.865979381443299,0.9171006944444444,saved_models\xgb_dataset_undersampled_20250715_181154.pkl
