dataset,val_acc,val_f1,val_auroc,test_acc,test_f1,test_auroc,model_file
dataset,0.8771498771498771,0.9198717948717948,0.8916298231511255,0.8774509803921569,0.9216300940438872,0.890625,checkpoints\mlp_dataset_20250715_185432.keras
dataset_smote,0.8255528255528255,0.8852988691437803,0.8612674169346195,0.8137254901960784,0.8782051282051282,0.8480235042735043,checkpoints\mlp_dataset_smote_20250715_185442.keras
dataset_adasyn,0.8329238329238329,0.8896103896103896,0.8684686495176849,0.8284313725490197,0.8867313915857605,0.860176282051282,checkpoints\mlp_dataset_adasyn_20250715_185452.keras
dataset_undersampled,0.8020833333333334,0.8020833333333334,0.8916015625,0.8229166666666666,0.8316831683168316,0.89453125,checkpoints\mlp_dataset_undersampled_20250715_185458.keras
